project,section,metric,value,provenance,source,note
demo-atlas,dimension,score.completion,100.0,OBSERVED,scoring-engine,coverage=100%
demo-atlas,component,completion.build_succeeds,100.0,OBSERVED,100 if build exit==0 else 0,exit code of build/compile phase
demo-atlas,component,completion.entrypoint_runs,100.0,OBSERVED,100 if entrypoint exit==0 else 0,"entrypoint: python3 -c ""import sys; from atlas.queue import Queue; q=Queue(); q.push('job'); t=q.pop(); assert t.name=='"
demo-atlas,component,completion.behavior_delivered,100.0,ESTIMATED,matched references / declared-or-public surface,declared features with matching passing tests
demo-atlas,dimension,score.reliability,100.0,OBSERVED,scoring-engine,coverage=75%
demo-atlas,component,reliability.test_pass_rate,100.0,OBSERVED,passed / (passed+failed+errors),2 test run(s)
demo-atlas,component,reliability.stability_across_runs,100.0,OBSERVED,min(pass_rate)/max(pass_rate),2 repeated runs
demo-atlas,component,reliability.error_density,,OBSERVED,scoring-engine,no error/build-failure events observed
demo-atlas,component,reliability.recovery_after_failures,100.0,OBSERVED,failures followed by success / failures,1/1 failures followed by a later success event
demo-atlas,dimension,score.testing,77.32,OBSERVED,scoring-engine,coverage=75%
demo-atlas,component,testing.suite_scale,31.95,OBSERVED,"saturating(n_tests, cap=40)",7 tests executed
demo-atlas,component,testing.pass_rate,100.0,OBSERVED,passed / attempted,
demo-atlas,component,testing.line_coverage,,OBSERVED,scoring-engine,no machine-readable coverage report found
demo-atlas,component,testing.test_to_code_balance,100.0,OBSERVED,trapezoid band [0.12..0.8 ideal],ratio=0.582
demo-atlas,dimension,score.architecture,95.5,OBSERVED,scoring-engine,coverage=100%
demo-atlas,component,architecture.module_size_discipline,100.0,OBSERVED,0.6*(1-big-file share)+0.4*band(avg size),avg file 12 sloc; 0 file(s) >500
demo-atlas,component,architecture.coupling_control,100.0,OBSERVED,(100-12*cycles) * fanout-band-factor,0 circular cycle(s); avg fan-out 0.5
demo-atlas,component,architecture.layering_and_layout,100.0,OBSERVED,checklist 40+30+30,src/tests/config separated
demo-atlas,component,architecture.dependency_hygiene,70.0,OBSERVED,scoring-engine,manifest(s) present but no unpinned deps detected
demo-atlas,component,architecture.complexity_ceiling,100.0,OBSERVED,"penalty above 14, floor at 26",max cyclomatic complexity 6
demo-atlas,dimension,score.performance,100.0,OBSERVED,scoring-engine,coverage=100%
demo-atlas,component,performance.suite_wall_time,100.0,OBSERVED,threshold bands 2/10/30/120/600s,tests finished in 0.57s
demo-atlas,component,performance.memory_efficiency,100.0,OBSERVED,absolute MB band,peak RSS 35MB (absolute; project below 10kLOC)
demo-atlas,component,performance.startup_latency,100.0,OBSERVED,band on startup wall time,entrypoint responded in 0.09s
demo-atlas,dimension,score.documentation,60.29,OBSERVED,scoring-engine,coverage=100%
demo-atlas,component,documentation.readme_quality,79.0,OBSERVED,(35 + 11*sections) * word-band factor,"46 words, 4/6 core sections"
demo-atlas,component,documentation.docstring_coverage,57.14,OBSERVED,scoring-engine,57% of public functions documented
demo-atlas,component,documentation.changelog_versioning,50.0,OBSERVED,scoring-engine,changelog
demo-atlas,component,documentation.supporting_docs,40.0,OBSERVED,scoring-engine,1 extra markdown file(s)
demo-atlas,dimension,score.autonomy,100.0,OBSERVED,scoring-engine,coverage=100%
demo-atlas,component,autonomy.self_correction_ratio,100.0,ESTIMATED,"bug_fixed / bug_discovered, capped at 1",2 fix(es) vs 1 discovered bug(s) (some labels derived heuristically)
demo-atlas,component,autonomy.unattended_completion,100.0,OBSERVED,scoring-engine,"3 task completion(s), 0 intervention request(s)"
demo-atlas,component,autonomy.retry_effectiveness,100.0,ESTIMATED,retries followed by success / retries,1/1 retry(ies) followed by success within 15min window
demo-atlas,component,autonomy.tool_success_rate,100.0,ESTIMATED,scoring-engine,2/2 tool calls with explicit success flag
demo-atlas,dimension,score.maintainability,97.19,OBSERVED,scoring-engine,coverage=100%
demo-atlas,component,maintainability.avg_complexity,100.0,OBSERVED,band [ideal 2..5],avg cyclomatic complexity 2.43
demo-atlas,component,maintainability.low_duplication,100.0,ESTIMATED,1 - duplication fraction,no duplicated blocks detected
demo-atlas,component,maintainability.file_size_distribution,100.0,OBSERVED,scoring-engine,0/9 files exceed 500 sloc
demo-atlas,component,maintainability.todo_debt,100.0,OBSERVED,scoring-engine,0 TODO/FIXME (0.0/kLOC)
demo-atlas,component,maintainability.code_smell_count,71.89,ESTIMATED,decay of weighted smell count,"0 mutable-default args, 0 bare excepts, ~3 unused imports (est.)"
demo-atlas,overall,engineering_score,93.11,OBSERVED,scoring-engine,data coverage=92%
demo-atlas,metric,avg_complexity,2.43,OBSERVED,code,
demo-atlas,metric,branch,master,OBSERVED,git,
demo-atlas,metric,build.avg_cpu_pct,,UNAVAILABLE,procmon,no samples collected
demo-atlas,metric,build.duration_s,0.07,OBSERVED,procmon,
demo-atlas,metric,build.exit_code,0,OBSERVED,procmon,
demo-atlas,metric,build.peak_rss_mb,,UNAVAILABLE,procmon,no samples collected
demo-atlas,metric,build.timed_out,False,OBSERVED,procmon,
demo-atlas,metric,commit_first_time,2026-08-20T17:35:46Z,OBSERVED,git,
demo-atlas,metric,commit_last_time,2026-08-21T19:29:46Z,OBSERVED,git,
demo-atlas,metric,commits_total,8,OBSERVED,git,
demo-atlas,metric,coverage.percent,,UNAVAILABLE,harness,no machine-readable coverage report found
demo-atlas,metric,dirty_files,0,OBSERVED,git,
demo-atlas,metric,docstring_coverage,0.5714,OBSERVED,code,
demo-atlas,metric,duplication_ratio,0.0,ESTIMATED,code,6-line shingle heuristic
demo-atlas,metric,files_total,9,OBSERVED,code,
demo-atlas,metric,head_sha,07f98309176fbf00de6eb428a7d69b09d88e099f,OBSERVED,git,
demo-atlas,metric,max_complexity,6,OBSERVED,code,
demo-atlas,metric,retries,1,OBSERVED,log_ingest,
demo-atlas,metric,sloc_test,39,OBSERVED,code,
demo-atlas,metric,sloc_total,106,OBSERVED,code,
demo-atlas,metric,smoke.avg_cpu_pct,,UNAVAILABLE,procmon,no samples collected
demo-atlas,metric,smoke.duration_s,0.086,OBSERVED,procmon,
demo-atlas,metric,smoke.exit_code,0,OBSERVED,procmon,
demo-atlas,metric,smoke.peak_rss_mb,,UNAVAILABLE,procmon,no samples collected
demo-atlas,metric,smoke.timed_out,False,OBSERVED,procmon,
demo-atlas,metric,test_to_code_ratio,0.5821,OBSERVED,code,
demo-atlas,metric,tests.avg_cpu_pct,91.69,OBSERVED,procmon,
demo-atlas,metric,tests.cpu_core_seconds,0.66,ESTIMATED,procmon,integral between samples
demo-atlas,metric,tests.duration_s,0.886,OBSERVED,procmon,
demo-atlas,metric,tests.errors,0,OBSERVED,harness,
demo-atlas,metric,tests.exit_code,0,OBSERVED,procmon,
demo-atlas,metric,tests.failed,0,OBSERVED,harness,
demo-atlas,metric,tests.passed,7,OBSERVED,harness,
demo-atlas,metric,tests.peak_rss_mb,35.66,OBSERVED,procmon,
demo-atlas,metric,tests.skipped,0,OBSERVED,harness,
demo-atlas,metric,tests.timed_out,False,OBSERVED,procmon,
demo-atlas,metric,todo_count,0,OBSERVED,code,
demo-atlas,metric,tokens.input,7650,OBSERVED,log_ingest,
demo-atlas,metric,tokens.output,2580,OBSERVED,log_ingest,
demo-atlas,metric,tokens.provenance,OBSERVED,OBSERVED,log_ingest,
demo-atlas,metric,tokens.total,10230,OBSERVED,log_ingest,from agent usage records
demo-atlas,metric,tools.calls,2,OBSERVED,log_ingest,
demo-atlas,metric,tools.success_rate,1.0,ESTIMATED,log_ingest,only calls with explicit success flags counted
demo-atlas,event,build_succeeded,1787430502.642,OBSERVED,harness,build ok (0.1s)
demo-atlas,event,test_run,1787430503.21,OBSERVED,harness,"7 passed, 0 failed, 0 errors"
demo-atlas,event,test_passed,1787430503.21,OBSERVED,harness,7 passed
demo-atlas,event,coverage_reported,1787430503.21,OBSERVED,harness,coverage 94.79166666666667%
demo-atlas,event,test_run,1787430505.974,OBSERVED,harness,"7 passed, 0 failed, 0 errors"
demo-atlas,event,test_passed,1787430505.974,OBSERVED,harness,7 passed
demo-atlas,event,coverage_reported,1787430505.974,OBSERVED,harness,coverage 94.79166666666667%
demo-atlas,event,run_started,1787430509.821,OBSERVED,harness,smoke-run start
demo-atlas,event,run_finished,1787430509.907,OBSERVED,harness,entrypoint smoke-run ok
demo-atlas,event,agent_started,1755500000.0,OBSERVED,log_ingest,
demo-atlas,event,tool_call,,OBSERVED,log_ingest,tool: bash
demo-atlas,event,tool_call,,OBSERVED,log_ingest,python -m venv .venv
demo-atlas,event,tool_call,,OBSERVED,log_ingest,tool: write_file
demo-atlas,event,tool_call,,OBSERVED,log_ingest,atlas/queue.py
demo-atlas,event,tokens_reported,1755500300.0,OBSERVED,log_ingest,usage record
demo-atlas,event,task_completed,1755500300.0,ESTIMATED,log_ingest,Implemented core queue with push/pop semantics.
demo-atlas,event,tokens_reported,1755501200.0,OBSERVED,log_ingest,usage record
demo-atlas,event,test_failed,1755501900.0,OBSERVED,log_ingest,FAILED tests/test_queue.py::test_pop_attempts - assert 2 == 1
demo-atlas,event,tokens_reported,1755501910.0,OBSERVED,log_ingest,usage record
demo-atlas,event,bug_discovered,1755501910.0,ESTIMATED,log_ingest,"Found bug: pop() increments attempts twice, breaking retry budget."
demo-atlas,event,retry_attempted,1755502000.0,OBSERVED,log_ingest,re-running suite after edit
demo-atlas,event,tokens_reported,1755502400.0,OBSERVED,log_ingest,usage record
demo-atlas,event,bug_fixed,1755502400.0,ESTIMATED,log_ingest,Patched attempt accounting; extracted priority pick to queue_prio.
demo-atlas,event,bug_fixed,1755502500.0,OBSERVED,log_ingest,attempts off-by-one fixed
demo-atlas,event,test_passed,1755502600.0,OBSERVED,log_ingest,7 passed
demo-atlas,event,commit_created,1755502700.0,OBSERVED,log_ingest,fix: restore attempt accounting in pop()
demo-atlas,event,tokens_reported,1755503000.0,OBSERVED,log_ingest,usage record
demo-atlas,event,task_completed,1755503000.0,ESTIMATED,log_ingest,"Task complete: queue, retry policy and worker delivered with green suite."
demo-atlas,event,task_completed,1755503010.0,OBSERVED,log_ingest,
demo-atlas,event,milestone_reached,1755503100.0,OBSERVED,log_ingest,v0.1.0 tagged
demo-atlas,failure_analysis,build_failures,0,OBSERVED,comparison,
demo-atlas,failure_analysis,test_failures,1,OBSERVED,comparison,
demo-atlas,failure_analysis,errors_observed,0,OBSERVED,comparison,
